timestamp,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,is_fixation
1738136773176.417,813,476,690,475,False
1738136773243.9348,814,477,691,478,False
1738136773275.187,814,478,691,478,False
1738136773302.3481,815,479,691,479,False
1738136773336.303,816,479,692,479,False
1738136773370.815,815,478,692,478,False
1738136773403.518,815,478,692,478,False
1738136773435.8242,815,477,692,477,False
1738136773469.394,815,477,692,477,False
1738136773502.1482,817,479,694,480,False
1738136773536.459,820,484,696,484,False
1738136773568.646,821,485,697,485,False
1738136773602.918,821,485,697,485,False
1738136773634.6638,822,485,698,485,False
1738136773668.936,822,484,698,483,False
1738136773702.756,821,483,698,481,False
1738136773735.421,820,483,696,480,False
1738136773769.333,820,482,696,480,False
1738136773802.939,819,484,695,482,False
1738136773835.783,819,485,695,484,False
1738136773868.8928,820,488,696,487,False
1738136773902.674,821,489,696,488,False
1738136773937.123,821,489,696,488,False
1738136773968.211,821,488,697,486,False
1738136774001.467,821,487,697,485,False
1738136774034.8489,821,486,697,484,False
1738136774068.996,820,485,697,484,False
1738136774103.0059,819,485,696,484,False
1738136774135.816,819,486,695,485,False
1738136774169.3718,819,487,695,487,False
1738136774202.365,819,488,695,487,False
1738136774234.2883,819,488,695,488,False
1738136774268.554,818,489,694,487,False
1738136774302.806,818,488,695,487,False
1738136774334.91,818,488,694,487,False
1738136774368.2969,817,488,694,487,False
1738136774401.612,816,487,693,487,False
1738136774435.165,816,488,693,487,False
1738136774467.9512,816,487,693,487,False
1738136774501.3389,816,487,693,486,False
1738136774535.876,815,488,692,487,False
1738136774568.358,816,487,692,486,False
1738136774601.4578,815,487,692,486,False
1738136774635.071,815,486,692,485,False
1738136774668.01,813,485,691,484,False
1738136774703.336,813,485,690,484,False
1738136774734.13,812,485,690,484,False
1738136774768.723,812,486,689,485,False
1738136774801.201,812,486,689,485,False
1738136774835.1821,812,486,689,485,False
