fixation_x,fixation_y,fixation_duration,is_fixation
691.3333333333334,514.0,76.743896484375,True
691.3333333333334,514.0,108.586181640625,True
691.3333333333334,514.0,141.080078125,True
691.3333333333334,514.0,178.59814453125,True
735.75,510.85,299.582275390625,True
735.75,510.85,297.640869140625,True
735.75,510.85,298.027099609375,True
735.75,510.85,302.763916015625,True
735.75,510.85,299.828125,True
735.75,510.85,300.314208984375,True
735.75,510.85,302.162109375,True
735.75,510.85,299.296875,True
735.75,510.85,299.56201171875,True
735.75,510.85,298.86083984375,True
735.75,510.85,302.8681640625,True
735.75,510.85,299.0673828125,True
735.75,510.85,297.949951171875,True
735.75,510.85,299.120849609375,True
735.75,510.85,298.588134765625,True
735.75,510.85,299.4306640625,True
735.75,510.85,298.4052734375,True
735.75,510.85,302.0,True
735.75,510.85,300.868896484375,True
735.75,510.85,298.93017578125,True
735.75,510.85,298.855712890625,True
735.75,510.85,300.1240234375,True
735.75,510.85,300.31298828125,True
735.75,510.85,299.48779296875,True
735.75,510.85,299.403076171875,True
735.75,510.85,299.511962890625,True
735.75,510.85,299.119873046875,True
735.75,510.85,299.55224609375,True
735.75,510.85,300.370849609375,True
735.75,510.85,302.288330078125,True
735.75,510.85,299.658935546875,True
735.75,510.85,301.02734375,True
735.75,510.85,301.965087890625,True
735.75,510.85,300.64013671875,True
735.75,510.85,302.096923828125,True
735.75,510.85,299.51220703125,True
735.75,510.85,300.350830078125,True
735.75,510.85,299.40087890625,True
735.75,510.85,297.999755859375,True
735.75,510.85,300.999267578125,True
735.75,510.85,299.004638671875,True
735.75,510.85,300.296875,True
735.75,510.85,297.993896484375,True
735.75,510.85,299.9580078125,True
735.75,510.85,301.347900390625,True
735.75,510.85,301.60400390625,True
735.75,510.85,297.35205078125,True
735.75,510.85,299.69091796875,True
735.75,510.85,298.9658203125,True
735.75,510.85,300.730224609375,True
735.75,510.85,297.3662109375,True
735.75,510.85,300.60595703125,True
735.75,510.85,298.2998046875,True
735.75,510.85,299.505126953125,True
735.75,510.85,295.896728515625,True
735.75,510.85,301.5751953125,True
735.75,510.85,301.916015625,True
735.75,510.85,300.466064453125,True
735.75,510.85,298.48779296875,True
735.75,510.85,302.646728515625,True
735.75,510.85,300.280029296875,True
735.75,510.85,299.4990234375,True
735.75,510.85,299.39404296875,True
735.75,510.85,303.206298828125,True
735.75,510.85,300.7607421875,True
735.75,510.85,296.89697265625,True
735.75,510.85,301.302978515625,True
735.75,510.85,301.8212890625,True
735.75,510.85,297.186279296875,True
735.75,510.85,299.847900390625,True
735.75,510.85,301.272216796875,True
735.75,510.85,300.69091796875,True
735.75,510.85,297.033935546875,True
735.75,510.85,300.893310546875,True
735.75,510.85,302.506103515625,True
735.75,510.85,296.37890625,True
735.75,510.85,299.94482421875,True
735.75,510.85,301.7412109375,True
735.75,510.85,299.38916015625,True
735.75,510.85,299.85498046875,True
735.75,510.85,298.630126953125,True
735.75,510.85,300.06103515625,True
735.75,510.85,298.281982421875,True
735.75,510.85,300.1630859375,True
735.75,510.85,300.60009765625,True
735.75,510.85,297.752197265625,True
735.75,510.85,297.9775390625,True
735.75,510.85,301.153076171875,True
735.75,510.85,300.33203125,True
735.75,510.85,298.324951171875,True
735.75,510.85,299.43603515625,True
735.75,510.85,301.416748046875,True
735.75,510.85,297.85009765625,True
735.75,510.85,298.06884765625,True
735.75,510.85,302.7216796875,True
735.75,510.85,299.439208984375,True
735.75,510.85,297.413818359375,True
735.75,510.85,298.005859375,True
735.75,510.85,301.10498046875,True
735.75,510.85,300.0009765625,True
735.75,510.85,297.179931640625,True
735.75,510.85,301.32080078125,True
735.75,510.85,304.91796875,True
735.75,510.85,306.6103515625,True
735.75,510.85,300.716064453125,True
735.75,510.85,302.396728515625,True
735.75,510.85,299.67724609375,True
735.75,510.85,299.744873046875,True
735.75,510.85,303.072998046875,True
735.75,510.85,301.38623046875,True
735.75,510.85,298.549072265625,True
735.75,510.85,297.231201171875,True
735.75,510.85,291.30859375,True
735.75,510.85,300.353759765625,True
735.75,510.85,299.21630859375,True
735.75,510.85,301.251220703125,True
735.75,510.85,302.9912109375,True
735.75,510.85,297.489013671875,True
735.75,510.85,298.58984375,True
735.75,510.85,299.77587890625,True
735.75,510.85,298.466796875,True
735.75,510.85,299.05029296875,True
735.75,510.85,299.67626953125,True
735.75,510.85,297.802001953125,True
735.75,510.85,298.615478515625,True
735.75,510.85,295.895751953125,True
735.75,510.85,300.135009765625,True
735.75,510.85,299.2392578125,True
735.75,510.85,344.89306640625,True
735.75,510.85,333.7783203125,True
735.75,510.85,343.605712890625,True
735.75,510.85,335.123779296875,True
735.75,510.85,339.083984375,True
735.75,510.85,333.894287109375,True
735.75,510.85,335.47998046875,True
735.75,510.85,334.43798828125,True
735.75,510.85,333.6748046875,True
735.75,510.85,288.27197265625,True
735.75,510.85,299.889892578125,True
735.75,510.85,291.31201171875,True
735.75,510.85,297.220947265625,True
735.75,510.85,295.12890625,True
735.75,510.85,299.551025390625,True
735.75,510.85,297.760009765625,True
735.75,510.85,297.483154296875,True
735.75,510.85,299.189208984375,True
735.75,510.85,300.491943359375,True
735.75,510.85,299.392822265625,True
735.75,510.85,298.587158203125,True
735.75,510.85,306.550048828125,True
735.75,510.85,303.298095703125,True
735.75,510.85,299.416748046875,True
700.95,502.75,299.64404296875,True
700.95,502.75,292.658203125,True
700.95,502.75,295.408935546875,True
700.95,502.75,300.55322265625,True
700.95,502.75,299.88525390625,True
700.95,502.75,300.159912109375,True
700.95,502.75,300.446044921875,True
