fixation_x,fixation_y,fixation_duration,is_fixation
760.5,579.5,48.2470703125,True
760.5,579.5,79.685302734375,True
760.5,579.5,114.776123046875,True
760.5,579.5,145.49609375,True
760.5,579.5,180.01513671875,True
760.5,579.5,213.43701171875,True
760.5,579.5,245.662841796875,True
792.5,578.65,298.149169921875,True
792.5,578.65,301.0341796875,True
792.5,578.65,299.653076171875,True
792.5,578.65,300.93310546875,True
792.5,578.65,297.454833984375,True
792.5,578.65,298.04296875,True
792.5,578.65,297.718994140625,True
792.5,578.65,299.51904296875,True
792.5,578.65,299.652099609375,True
792.5,578.65,300.968017578125,True
792.5,578.65,300.58984375,True
792.5,578.65,301.30517578125,True
792.5,578.65,298.682861328125,True
792.5,578.65,299.7529296875,True
792.5,578.65,300.441162109375,True
792.5,578.65,300.201904296875,True
792.5,578.65,299.968994140625,True
792.5,578.65,299.589111328125,True
792.5,578.65,300.569091796875,True
792.5,578.65,297.636962890625,True
792.5,578.65,298.43896484375,True
792.5,578.65,300.666259765625,True
792.5,578.65,299.277099609375,True
792.5,578.65,299.458984375,True
792.5,578.65,300.785400390625,True
792.5,578.65,300.666748046875,True
792.5,578.65,299.617919921875,True
792.5,578.65,298.88916015625,True
792.5,578.65,300.154052734375,True
792.5,578.65,300.8662109375,True
792.5,578.65,299.844970703125,True
792.5,578.65,301.338134765625,True
792.5,578.65,300.123779296875,True
792.5,578.65,300.031005859375,True
792.5,578.65,298.894287109375,True
792.5,578.65,301.29296875,True
792.5,578.65,303.6015625,True
792.5,578.65,299.182861328125,True
792.5,578.65,300.413818359375,True
792.5,578.65,301.1748046875,True
792.5,578.65,298.471923828125,True
792.5,578.65,299.528076171875,True
792.5,578.65,304.7626953125,True
792.5,578.65,300.1201171875,True
792.5,578.65,298.35205078125,True
792.5,578.65,296.646240234375,True
792.5,578.65,302.927978515625,True
792.5,578.65,298.914794921875,True
792.5,578.65,299.34423828125,True
792.5,578.65,299.52392578125,True
792.5,578.65,298.989013671875,True
792.5,578.65,294.651123046875,True
792.5,578.65,301.52978515625,True
792.5,578.65,301.15234375,True
792.5,578.65,299.06005859375,True
792.5,578.65,298.4189453125,True
792.5,578.65,299.214111328125,True
792.5,578.65,299.833984375,True
792.5,578.65,302.993896484375,True
792.5,578.65,300.951171875,True
792.5,578.65,302.093994140625,True
792.5,578.65,297.89599609375,True
792.5,578.65,299.287841796875,True
792.5,578.65,300.39794921875,True
792.5,578.65,299.99609375,True
792.5,578.65,300.240966796875,True
792.5,578.65,299.8310546875,True
792.5,578.65,297.56298828125,True
792.5,578.65,299.07763671875,True
792.5,578.65,296.95703125,True
792.5,578.65,300.2578125,True
792.5,578.65,299.2841796875,True
792.5,578.65,300.094970703125,True
792.5,578.65,299.01220703125,True
792.5,578.65,302.69287109375,True
792.5,578.65,300.458984375,True
792.5,578.65,301.2880859375,True
792.5,578.65,302.8623046875,True
792.5,578.65,299.93896484375,True
792.5,578.65,299.4853515625,True
792.5,578.65,300.746826171875,True
792.5,578.65,303.64599609375,True
792.5,578.65,301.232666015625,True
792.5,578.65,299.463134765625,True
792.5,578.65,298.203125,True
792.5,578.65,299.512939453125,True
792.5,578.65,296.48193359375,True
792.5,578.65,300.222900390625,True
792.5,578.65,301.4638671875,True
792.5,578.65,299.408935546875,True
792.5,578.65,295.76708984375,True
792.5,578.65,297.837158203125,True
792.5,578.65,298.049072265625,True
792.5,578.65,299.99462890625,True
792.5,578.65,299.2548828125,True
792.5,578.65,301.965087890625,True
792.5,578.65,300.236083984375,True
792.5,578.65,298.451171875,True
792.5,578.65,299.093017578125,True
792.5,578.65,299.6279296875,True
792.5,578.65,300.110107421875,True
