timestamp,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,is_fixation
1738136655739.29,830,590,643,597,False
1738136655814.291,832,588,643,597,False
1738136655846.283,832,588,643,597,False
1738136655876.311,836,591,647,599,False
1738136655907.506,839,593,651,601,False
1738136655942.0747,839,593,653,601,False
1738136655974.2861,840,593,653,598,False
1738136656007.587,842,589,655,595,False
1738136656041.596,843,587,656,592,False
1738136656073.745,843,588,656,593,False
1738136656106.8262,841,589,655,592,False
1738136656140.9258,840,587,655,592,False
1738136656175.648,838,587,654,592,False
1738136656208.7512,836,588,651,594,False
1738136656242.111,836,587,648,595,False
1738136656277.411,832,588,645,597,False
1738136656307.2861,829,589,641,600,False
1738136656341.0361,827,593,639,603,False
1738136656374.3958,827,593,636,603,False
1738136656408.394,825,594,636,603,False
1738136656441.21,822,596,635,603,False
1738136656473.9229,823,594,635,604,False
1738136656507.162,824,593,635,602,False
1738136656540.909,825,594,636,602,False
1738136656574.291,827,595,638,602,False
1738136656607.283,829,595,639,601,False
1738136656642.082,829,595,639,599,False
1738136656673.835,829,594,639,598,False
1738136656707.735,828,594,639,597,False
1738136656744.929,828,593,640,597,False
1738136656775.1008,830,593,640,596,False
1738136656807.278,828,592,638,596,False
1738136656841.52,829,591,640,596,False
1738136656875.22,828,591,639,596,False
1738136656908.428,828,591,640,595,False
1738136656940.747,827,591,639,595,False
1738136656973.5662,827,591,639,595,False
1738136657007.453,828,590,640,594,False
1738136657040.305,827,590,640,594,False
1738136657073.526,827,590,640,593,False
1738136657108.093,825,589,640,593,False
1738136657140.234,826,589,640,593,False
1738136657173.558,826,589,640,593,False
1738136657206.8127,826,589,640,593,False
1738136657240.538,827,588,641,594,False
1738136657273.3938,825,588,640,593,False
1738136657307.648,825,589,641,594,False
1738136657341.6208,826,589,640,593,False
1738136657373.791,828,588,640,593,False
1738136657406.966,825,589,639,592,False
1738136657439.98,826,589,639,594,False
1738136657473.908,826,589,639,593,False
1738136657510.3691,826,589,639,594,False
1738136657540.0032,826,589,639,593,False
1738136657574.9,828,589,639,593,False
1738136657606.9482,827,588,640,592,False
1738136657639.8452,827,588,639,591,False
1738136657675.615,827,588,640,591,False
1738136657706.8438,827,585,642,588,False
1738136657740.022,831,582,643,587,False
1738136657774.03,831,582,643,585,False
1738136657810.087,830,579,644,584,False
1738136657839.0369,831,577,643,583,False
1738136657873.188,830,575,643,581,False
1738136657906.656,829,573,642,578,False
1738136657940.02,829,573,641,577,False
1738136657973.68,826,572,640,576,False
1738136658007.155,825,570,639,575,False
1738136658041.291,826,570,639,574,False
1738136658073.057,824,568,639,572,False
1738136658106.577,825,567,639,570,False
1738136658139.859,825,564,639,570,False
1738136658173.575,825,564,640,570,False
1738136658207.2507,825,564,638,568,False
1738136658239.715,826,563,640,567,False
1738136658274.647,825,563,640,567,False
1738136658307.1309,825,563,640,567,False
1738136658348.251,825,563,639,567,False
1738136658375.399,826,563,639,567,False
1738136658406.309,826,563,640,567,False
1738136658439.74,826,562,640,567,False
1738136658473.259,825,562,640,567,False
1738136658508.333,826,563,640,567,False
1738136658539.819,825,563,640,566,False
1738136658573.156,825,563,640,567,False
1738136658607.062,825,563,640,566,False
1738136658640.9832,825,563,640,566,False
1738136658673.4453,825,562,639,566,False
1738136658706.816,825,561,639,565,False
1738136658741.193,825,562,640,564,False
1738136658774.419,826,562,640,566,False
1738136658806.63,826,562,640,566,False
1738136658839.906,826,562,640,565,False
1738136658874.2112,829,560,643,563,False
1738136658906.699,833,560,648,563,False
1738136658939.777,834,559,649,562,False
1738136658974.68,836,559,649,562,False
1738136659006.926,837,559,649,562,False
1738136659039.731,838,558,650,562,False
1738136659073.2239,839,558,651,563,False
1738136659106.6702,838,558,652,562,False
1738136659139.7332,839,557,652,563,False
1738136659173.877,839,557,652,562,False
1738136659210.192,839,557,652,563,False
1738136659241.7559,839,558,652,563,False
1738136659272.317,840,558,653,562,False
1738136659305.649,840,557,653,562,False
1738136659339.641,840,557,653,562,False
1738136659373.363,840,558,653,562,False
1738136659406.203,840,557,653,562,False
1738136659440.558,840,557,653,562,False
1738136659473.145,840,557,653,562,False
1738136659506.5369,841,558,653,562,False
1738136659539.442,840,559,653,563,False
1738136659573.532,840,558,653,563,False
1738136659605.6719,840,559,654,563,False
1738136659639.32,841,559,654,563,False
1738136659674.346,841,560,654,563,False
1738136659706.136,841,559,653,563,False
1738136659739.157,841,560,654,564,False
1738136659772.5398,840,560,654,564,False
1738136659806.256,840,560,654,564,False
1738136659839.704,841,560,654,564,False
1738136659872.803,841,560,654,564,False
1738136659907.31,841,561,654,565,False
1738136659940.062,841,561,655,565,False
1738136659972.809,841,560,655,564,False
1738136660005.833,842,560,655,565,False
1738136660039.218,842,560,656,564,False
1738136660073.066,842,560,655,564,False
1738136660105.8728,841,561,654,565,False
1738136660142.543,832,561,646,565,False
1738136660171.9648,828,562,643,565,False
1738136660205.5208,828,562,642,565,False
1738136660238.963,828,562,642,564,False
1738136660272.2183,828,563,643,565,False
1738136660305.529,833,565,647,567,False
1738136660339.1162,835,568,648,570,False
1738136660374.1802,831,569,645,571,False
1738136660406.087,829,569,642,574,False
1738136660438.7441,829,570,642,573,False
1738136660472.544,828,570,643,573,False
1738136660505.829,829,569,643,573,False
1738136660538.951,829,568,644,572,False
1738136660572.188,828,567,642,573,False
1738136660606.9993,827,568,641,573,False
1738136660638.911,827,568,641,574,False
1738136660672.6038,827,569,641,574,False
1738136660705.882,827,569,641,574,False
1738136660739.746,829,570,643,574,False
1738136660772.1501,829,571,645,575,False
1738136660805.103,830,571,645,574,False
1738136660841.305,830,572,644,575,False
1738136660872.322,830,572,644,575,False
1738136660905.5989,829,572,643,576,False
1738136660938.44,829,572,642,576,False
1738136660972.305,829,571,642,575,False
1738136661005.449,828,571,642,575,False
1738136661038.381,827,571,641,576,False
1738136661073.366,825,569,640,574,False
1738136661105.302,823,568,639,575,False
1738136661138.609,823,567,638,574,False
1738136661171.669,824,567,639,574,False
1738136661205.468,824,567,638,575,False
1738136661238.933,824,567,638,575,False
1738136661271.8442,824,567,638,575,False
1738136661307.033,823,567,638,575,False
1738136661338.3691,823,563,639,573,False
1738136661371.836,824,559,639,569,False
1738136661405.25,824,558,639,568,False
1738136661438.4917,824,558,639,568,False
1738136661472.0928,824,558,639,567,False
1738136661505.907,824,558,639,568,False
1738136661539.5652,824,558,639,567,False
1738136661571.5818,823,558,637,568,False
1738136661605.2249,819,563,636,571,False
1738136661638.753,819,564,636,572,False
1738136661671.8408,821,566,636,573,False
1738136661705.321,822,567,638,574,False
1738136661738.7898,822,567,638,574,False
1738136661774.554,823,567,637,574,False
1738136661804.929,822,567,638,574,False
1738136661838.3281,822,566,637,574,False
