fixation_duration,fixation_x,fixation_y,is_fixation
,,,False
,,,False
,,,False
,,,False
144.7890625,691.4,486.7,True
176.81689453125,691.9166666666666,487.5,True
212.728759765625,692.4285714285714,488.2142857142857,True
242.808837890625,693.125,488.875,True
275.22216796875,693.8888888888889,489.5,True
308.510986328125,694.6,490.05,True
343.106689453125,695.4545454545455,490.40909090909093,True
375.636962890625,696.1666666666666,490.75,True
408.571044921875,696.9230769230769,491.0769230769231,True
446.86181640625,697.6785714285714,491.2857142857143,True
476.334716796875,698.4,491.5,True
508.8740234375,699.0625,491.78125,True
545.02685546875,699.7941176470588,492.0,True
577.509033203125,700.3611111111111,492.19444444444446,True
610.65283203125,700.8947368421053,492.36842105263156,True
642.753173828125,701.35,492.55,True
635.657958984375,702.425,493.25,True
620.3681640625,703.475,493.775,True
631.9140625,704.375,494.325,True
630.429931640625,705.35,494.725,True
632.9951171875,706.25,495.05,True
630.563232421875,707.025,495.35,True
632.4580078125,707.775,495.6,True
635.164794921875,708.375,495.75,True
633.356201171875,708.775,495.85,True
631.951171875,709.1,495.95,True
632.98583984375,709.25,496.075,True
634.14892578125,709.35,496.175,True
628.14208984375,709.3,496.225,True
632.21923828125,709.175,496.25,True
634.073974609375,708.925,496.075,True
630.546142578125,708.65,495.65,True
630.593994140625,708.2,495.125,True
631.549072265625,707.775,494.55,True
632.768798828125,707.275,493.95,True
629.79296875,706.8,493.275,True
632.2109375,706.25,492.575,True
633.865966796875,705.675,491.9,True
633.327880859375,705.125,491.15,True
631.52197265625,704.525,490.475,True
631.312255859375,703.975,489.775,True
634.459228515625,703.425,489.1,True
632.06494140625,702.85,488.425,True
632.9326171875,702.325,487.8,True
633.844970703125,701.9,487.2,True
633.218994140625,701.525,486.575,True
632.27587890625,701.2,485.975,True
632.864013671875,700.975,485.375,True
634.2548828125,700.825,484.775,True
632.06005859375,700.7,484.25,True
632.449951171875,700.675,483.85,True
634.496826171875,700.7,483.575,True
632.534912109375,700.8,483.45,True
632.0107421875,701.0,483.35,True
633.162841796875,701.275,483.25,True
633.7080078125,701.55,483.15,True
631.6337890625,701.8,483.05,True
632.585205078125,702.05,482.925,True
634.198974609375,702.3,482.725,True
634.008544921875,702.525,482.45,True
631.16796875,702.8,482.05,True
631.56689453125,703.125,481.55,True
634.822021484375,703.475,481.05,True
633.01318359375,703.8,480.55,True
632.68310546875,704.15,479.975,True
635.22802734375,704.5,479.45,True
633.800048828125,704.85,478.925,True
631.776123046875,705.15,478.4,True
634.032958984375,705.45,477.95,True
634.91796875,705.725,477.5,True
631.97802734375,705.975,477.075,True
632.814208984375,706.175,476.725,True
636.010498046875,706.35,476.35,True
633.697021484375,706.45,475.95,True
632.779052734375,706.525,475.525,True
633.400146484375,706.575,475.125,True
634.921875,706.65,474.675,True
632.802978515625,706.725,474.225,True
632.938232421875,706.8,473.85,True
634.751953125,706.875,473.55,True
633.969970703125,706.9,473.425,True
631.620849609375,706.825,473.45,True
631.81689453125,706.725,473.625,True
634.258056640625,706.6,473.825,True
630.119384765625,706.375,474.15,True
633.087890625,706.1,474.45,True
634.5341796875,705.75,474.775,True
631.134033203125,705.35,475.025,True
631.523193359375,704.9,475.15,True
632.481201171875,704.425,475.15,True
634.20703125,703.975,475.125,True
630.91162109375,703.475,475.025,True
632.982177734375,702.95,474.85,True
633.56884765625,702.45,474.6,True
632.8837890625,701.95,474.325,True
630.887939453125,701.5,473.925,True
632.406005859375,701.025,473.475,True
632.950927734375,700.575,472.975,True
631.10791015625,700.15,472.4,True
633.2451171875,699.75,471.8,True
634.35009765625,699.4,471.15,True
633.161865234375,699.15,470.4,True
,,,False
,,,False
632.808837890625,699.0,467.575,True
630.804931640625,699.4,466.625,True
633.65380859375,700.05,465.65,True
633.972900390625,700.85,464.8,True
639.163818359375,701.825,464.0,True
641.889892578125,702.975,463.4,True
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
626.446044921875,734.425,467.35,True
624.2109375,735.65,467.675,True
629.337646484375,736.7,467.95,True
622.686279296875,737.65,468.2,True
625.37353515625,738.5,468.425,True
621.47705078125,739.2,468.55,True
621.18408203125,739.85,468.625,True
623.309326171875,740.35,468.625,True
629.908935546875,740.75,468.65,True
631.931640625,741.1,468.675,True
638.56396484375,741.425,468.65,True
638.00390625,741.6,468.625,True
642.740966796875,741.775,468.625,True
635.577880859375,741.975,468.6,True
632.375244140625,742.1,468.6,True
633.251953125,742.2,468.6,True
633.588134765625,742.25,468.575,True
632.044677734375,742.275,468.6,True
632.98193359375,742.275,468.65,True
634.160888671875,741.975,468.775,True
631.358154296875,741.375,468.8,True
633.326171875,740.675,468.85,True
634.497802734375,739.975,468.775,True
633.604736328125,739.225,468.725,True
631.734619140625,738.425,468.65,True
633.680908203125,737.575,468.575,True
638.340576171875,736.675,468.475,True
628.493896484375,735.775,468.375,True
625.115234375,734.875,468.25,True
626.67626953125,733.975,468.175,True
627.066162109375,733.1,468.1,True
622.680908203125,732.225,468.05,True
628.19384765625,731.35,468.025,True
633.211181640625,730.425,468.025,True
633.011962890625,729.55,468.05,True
633.466064453125,728.7,468.075,True
634.963134765625,727.8,468.125,True
635.252197265625,726.925,468.15,True
632.32421875,726.125,468.15,True
632.81884765625,725.6,468.1,True
633.40478515625,725.4,468.125,True
632.365234375,725.3,468.15,True
634.673095703125,725.225,468.275,True
650.158203125,725.25,468.425,True
632.487060546875,725.325,468.6,True
629.035888671875,725.475,468.825,True
633.122802734375,725.675,469.025,True
634.12890625,725.925,469.25,True
631.9130859375,726.175,469.475,True
633.471923828125,726.45,469.625,True
634.84619140625,726.7,469.775,True
633.672119140625,727.0,469.9,True
632.45068359375,727.275,470.025,True
633.695068359375,727.6,470.125,True
634.182861328125,727.925,470.2,True
631.865966796875,728.25,470.25,True
632.05908203125,728.625,470.325,True
633.852783203125,728.95,470.4,True
633.133056640625,729.2,470.525,True
632.7060546875,729.5,470.625,True
632.6357421875,729.775,470.725,True
632.091064453125,730.05,470.825,True
616.5419921875,730.3,470.875,True
633.200927734375,730.525,470.9,True
634.13232421875,731.125,470.95,True
634.378173828125,731.9,470.925,True
632.277099609375,732.725,470.9,True
633.52392578125,733.5,470.875,True
633.780029296875,734.3,470.825,True
631.577880859375,735.05,470.8,True
633.066162109375,735.8,470.775,True
634.2939453125,736.55,470.75,True
632.1279296875,737.3,470.7,True
631.97412109375,738.0,470.65,True
632.89794921875,738.7,470.6,True
633.4638671875,739.375,470.55,True
634.01025390625,740.025,470.475,True
634.376953125,740.675,470.4,True
633.783203125,741.4,470.275,True
633.115966796875,742.1,470.175,True
631.798828125,742.825,470.075,True
632.91015625,743.575,469.925,True
635.990234375,744.35,469.85,True
634.89404296875,745.1,469.75,True
631.953125,745.475,469.625,True
635.35888671875,745.65,469.575,True
632.544921875,745.775,469.5,True
632.31103515625,745.9,469.425,True
632.7939453125,746.075,469.35,True
633.404052734375,746.275,469.225,True
631.7412109375,746.475,469.175,True
633.34716796875,746.65,469.1,True
633.930908203125,746.825,469.025,True
632.256103515625,747.0,468.95,True
632.2119140625,747.2,468.925,True
631.1689453125,747.4,468.925,True
632.5712890625,747.6,468.925,True
631.556884765625,747.825,468.95,True
633.068115234375,748.0,469.025,True
633.56494140625,748.175,469.1,True
635.6279296875,748.325,469.2,True
630.39208984375,748.425,469.35,True
629.66796875,748.5,469.5,True
634.138916015625,748.4,469.75,True
630.366943359375,747.95,470.225,True
633.280029296875,747.425,470.75,True
634.703857421875,746.925,471.3,True
634.916259765625,746.425,471.9,True
632.975830078125,745.85,472.475,True
633.69091796875,745.25,473.125,True
634.22998046875,744.65,473.675,True
632.256103515625,744.025,474.25,True
633.73779296875,743.4,474.85,True
634.5849609375,742.75,475.475,True
633.033935546875,742.075,476.025,True
632.8857421875,741.4,476.625,True
633.143798828125,740.7,477.25,True
633.808837890625,739.975,477.85,True
632.047119140625,739.275,478.4,True
630.1650390625,738.525,478.975,True
633.3017578125,737.775,479.525,True
632.68212890625,737.025,480.075,True
631.718994140625,736.35,480.625,True
633.46044921875,736.2,481.075,True
633.795654296875,736.725,481.325,True
630.94921875,737.4,481.5,True
630.78466796875,738.075,481.65,True
633.52001953125,738.8,481.75,True
631.695068359375,739.5,481.9,True
631.719970703125,740.3,482.025,True
632.393798828125,741.1,482.15,True
632.89404296875,741.925,482.3,True
,,,False
,,,False
,,,False
,,,False
631.787109375,746.25,482.7,True
634.27880859375,747.2,482.725,True
633.869140625,748.15,482.775,True
632.59716796875,749.125,482.8,True
633.61279296875,750.1,482.8,True
634.653076171875,751.075,482.775,True
633.429931640625,752.025,482.7,True
632.058349609375,752.6,482.55,True
633.906005859375,752.825,482.325,True
634.10302734375,752.95,482.075,True
632.55712890625,753.025,481.825,True
633.70703125,753.075,481.575,True
633.8330078125,753.175,481.3,True
633.198974609375,753.2,481.0,True
632.049072265625,753.25,480.75,True
632.61279296875,753.25,480.475,True
628.602783203125,753.25,480.175,True
628.98291015625,753.3,479.9,True
631.645263671875,753.325,479.65,True
634.255859375,753.325,479.375,True
631.64013671875,753.3,479.1,True
631.15576171875,753.275,478.8,True
632.6689453125,753.225,478.525,True
633.08984375,753.2,478.225,True
631.162841796875,753.2,477.975,True
632.2958984375,753.2,477.75,True
634.23681640625,753.2,477.525,True
633.677978515625,753.2,477.375,True
632.701904296875,753.2,477.3,True
632.55517578125,753.275,477.25,True
633.517822265625,753.175,477.225,True
632.077880859375,752.65,477.225,True
632.739013671875,751.975,477.2,True
634.572021484375,751.275,477.225,True
633.453125,750.55,477.275,True
633.39404296875,749.875,477.3,True
633.647216796875,749.175,477.375,True
635.556884765625,748.475,477.45,True
632.14990234375,747.775,477.525,True
634.86279296875,747.075,477.625,True
644.989990234375,746.375,477.725,True
634.048828125,745.675,477.875,True
633.51611328125,744.975,478.0,True
632.873046875,744.225,478.15,True
632.98583984375,743.45,478.3,True
632.14208984375,742.675,478.425,True
631.30908203125,741.875,478.55,True
633.329345703125,741.125,478.675,True
633.1728515625,740.875,478.7,True
632.443115234375,740.85,478.65,True
633.136962890625,741.025,478.575,True
634.43896484375,741.65,478.45,True
632.042236328125,742.4,478.4,True
633.146240234375,743.175,478.3,True
634.616943359375,743.95,478.125,True
632.57080078125,744.725,477.95,True
631.859619140625,745.5,477.725,True
633.1083984375,746.275,477.475,True
632.51611328125,747.05,477.225,True
621.342041015625,747.825,476.925,True
632.283935546875,748.6,476.6,True
634.18408203125,749.375,476.225,True
633.190185546875,750.1,475.85,True
633.26806640625,750.875,475.45,True
632.7919921875,751.625,475.0,True
634.48486328125,752.35,474.525,True
632.83984375,753.025,474.05,True
633.386962890625,753.675,473.575,True
634.82080078125,753.825,473.175,True
633.605224609375,753.725,472.825,True
632.67919921875,753.15,472.45,True
