timestamp,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,is_fixation
1738136680251.0898,848,708,634,713,False
1738136680279.251,843,708,630,712,False
1738136680315.285,843,711,629,715,False
1738136680345.8171,840,711,628,716,False
1738136680379.9282,836,711,624,716,False
1738136680412.079,834,710,623,716,False
1738136680455.095,831,710,617,716,False
1738136680479.768,829,708,620,714,False
1738136680510.872,828,709,616,716,False
1738136680546.896,825,712,618,717,False
1738136680577.9531,826,711,617,718,False
1738136680614.748,826,711,616,717,False
1738136680648.4639,826,709,618,717,False
1738136680677.303,826,708,612,716,False
1738136680711.1628,827,707,617,715,False
1738136680744.4868,828,709,614,715,False
1738136680778.0117,829,709,615,713,False
1738136680811.883,829,709,615,715,False
1738136680847.719,830,708,616,715,False
1738136680880.2021,829,705,617,714,False
1738136680912.3452,827,705,617,713,False
1738136680944.031,828,704,617,715,False
1738136680976.725,830,703,621,713,False
1738136681013.927,831,705,625,712,False
1738136681047.071,832,703,625,712,False
1738136681078.353,833,704,628,712,False
1738136681109.576,833,703,627,714,False
1738136681144.8418,834,703,628,712,False
1738136681178.345,833,703,627,711,False
1738136681209.996,835,703,630,711,False
1738136681244.531,834,702,629,712,False
1738136681277.026,835,702,630,711,False
1738136681310.848,836,703,629,710,False
1738136681344.687,835,703,630,709,False
1738136681377.8582,827,703,618,711,False
1738136681411.33,818,705,611,711,False
1738136681444.232,811,702,609,711,False
1738136681477.1243,809,701,606,712,False
1738136681515.984,807,700,604,709,False
1738136681549.344,806,699,605,711,False
1738136681576.59,804,698,601,709,False
1738136681611.1392,802,697,600,710,False
1738136681643.98,798,697,598,709,False
1738136681678.445,796,697,596,708,False
1738136681711.278,793,697,593,709,False
1738136681743.646,791,696,592,708,False
1738136681780.577,790,695,590,708,False
1738136681828.382,788,695,588,708,False
1738136681887.7717,786,692,584,707,False
1738136681910.9602,783,691,583,704,False
1738136681943.406,782,689,579,704,False
1738136681977.667,778,683,576,700,False
1738136682010.893,772,673,572,695,False
